using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 0 | loss: 10.8725 | dt: 1274.74ms | tok/sec: 1606.61
step 10 | loss: 7.9941 | dt: 2626.35ms | tok/sec: 779.79
step 20 | loss: 6.9462 | dt: 2627.22ms | tok/sec: 779.53
step 30 | loss: 6.7740 | dt: 3246.48ms | tok/sec: 630.84
step 40 | loss: 6.9956 | dt: 2638.15ms | tok/sec: 776.30
step 50 | loss: 6.8735 | dt: 2615.98ms | tok/sec: 782.88
step 60 | loss: 6.5163 | dt: 2640.97ms | tok/sec: 775.47
step 70 | loss: 6.5162 | dt: 2637.36ms | tok/sec: 776.53
step 80 | loss: 6.4836 | dt: 2661.23ms | tok/sec: 769.57
step 90 | loss: 6.5255 | dt: 2643.36ms | tok/sec: 774.77
step 100 | loss: 6.2876 | dt: 2677.88ms | tok/sec: 764.78
step 110 | loss: 6.5272 | dt: 2666.03ms | tok/sec: 768.18
step 120 | loss: 6.1898 | dt: 2824.14ms | tok/sec: 725.18
step 130 | loss: 6.1057 | dt: 2646.03ms | tok/sec: 773.99
step 140 | loss: 5.9576 | dt: 2632.82ms | tok/sec: 777.87
step 150 | loss: 6.4212 | dt: 2637.88ms | tok/sec: 776.38
step 160 | loss: 6.4857 | dt: 2641.72ms | tok/sec: 775.25
step 170 | loss: 6.2381 | dt: 2624.55ms | tok/sec: 780.32
step 180 | loss: 5.6074 | dt: 2650.12ms | tok/sec: 772.80
step 190 | loss: 6.0601 | dt: 2657.61ms | tok/sec: 770.62
step 200 | loss: 5.5407 | dt: 2856.74ms | tok/sec: 716.90
step 210 | loss: 5.8250 | dt: 2647.57ms | tok/sec: 773.54
step 220 | loss: 6.0356 | dt: 2635.08ms | tok/sec: 777.21
step 230 | loss: 5.7742 | dt: 2637.31ms | tok/sec: 776.55
step 240 | loss: 5.8564 | dt: 2645.37ms | tok/sec: 774.18
step 250 | loss: 5.4802 | dt: 2660.91ms | tok/sec: 769.66
step 260 | loss: 5.6751 | dt: 2632.88ms | tok/sec: 777.85
step 270 | loss: 5.9273 | dt: 2733.56ms | tok/sec: 749.21
step 280 | loss: 5.9138 | dt: 2626.31ms | tok/sec: 779.80
step 290 | loss: 5.6861 | dt: 2638.67ms | tok/sec: 776.15
step 300 | loss: 5.2012 | dt: 2642.88ms | tok/sec: 774.91
step 310 | loss: 5.6114 | dt: 2649.90ms | tok/sec: 772.86
step 320 | loss: 5.0033 | dt: 2688.08ms | tok/sec: 761.88
step 330 | loss: 5.6259 | dt: 2682.14ms | tok/sec: 763.57
step 340 | loss: 5.1127 | dt: 2650.79ms | tok/sec: 772.60
step 350 | loss: 5.3045 | dt: 2678.00ms | tok/sec: 764.75
